X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8818762.187,5426302.284,36,GO-2004239294,2004/03/19 05:00:00+00,2004,March,Friday,22,Evening,D41,0,1,139,Scarborough Village (139),-79.2202886,43.74654133,36
-8822202.933,5431410.875,37,GO-2004252448,2004/03/20 05:00:00+00,2004,March,Saturday,12,Afternoon,D31,0,1,137,Woburn (137),-79.25119734,43.77968425,37
-8844071.467,5418557.309,38,GO-2004239286,2004/03/20 05:00:00+00,2004,March,Saturday,0,Night,D13,0,1,107,Oakwood Village (107),-79.44764573,43.69625936,38
-8851538.882,5429488.059,39,GO-2004255502,2004/03/29 05:00:00+00,2004,March,Monday,16,Afternoon,D31,0,0,24,Black Creek (24),-79.51472666,43.76721178,39
-8820102.432,5425878.894,40,GO-2004255020,2004/03/29 05:00:00+00,2004,March,Monday,9,Morning,D41,0,0,138,Eglinton East (138),-79.23232822,43.74379368,40
-8823525.34,5427415.683,41,GO-2004268947,2004/03/29 05:00:00+00,2004,March,Monday,0,Night,D41,0,1,127,Bendale (127),-79.26307673,43.75376627,41
-8819249.778,5428043.448,42,GO-2004251775,2004/03/29 05:00:00+00,2004,March,Monday,11,Morning,D42,0,0,137,Woburn (137),-79.2246687,43.75783951,42
-8851842.515,5417998.121,43,GO-2004259451,2004/04/05 04:00:00+00,2004,April,Monday,23,Evening,D23,0,1,8,Humber Heights-Westmount (8),-79.51745424,43.69262736,43
-8828205.094,5434098.787,44,GO-2004262735,2004/04/05 04:00:00+00,2004,April,Monday,20,Evening,D42,0,0,117,L'Amoreaux (117),-79.30511567,43.7971152,44
-8828205.094,5434098.787,45,GO-2004263733,2004/04/05 04:00:00+00,2004,April,Monday,20,Evening,D42,0,0,117,L'Amoreaux (117),-79.30511567,43.7971152,45
-8838079.626,5412025.818,46,GO-2004303360,2004/04/11 04:00:00+00,2004,April,Sunday,1,Night,D52,0,1,78,Kensington-Chinatown (78),-79.3938201,43.65382278,46
-8817883.583,5436406.934,47,GO-2004303455,2004/04/12 04:00:00+00,2004,April,Monday,22,Evening,D42,0,0,132,Malvern (132),-79.21239596,43.81207934,47
-8855524.036,5422998.609,48,GO-2004250857,2004/04/13 04:00:00+00,2004,April,Tuesday,20,Evening,D23,1,0,5,Elms-Old Rexdale (5),-79.5505259,43.72509835,48
-8829023.364,5434896.163,49,GO-2004304903,2004/04/14 04:00:00+00,2004,April,Wednesday,22,Evening,D42,0,1,117,L'Amoreaux (117),-79.31246632,43.80228516,49
-8841810.536,5409739.352,50,GO-2004764704,2004/04/14 04:00:00+00,2004,April,Wednesday,23,Evening,D14,0,0,85,South Parkdale (85),-79.42733544,43.63896,50
-8851058.185,5426716.214,51,GO-2004310859,2004/04/15 04:00:00+00,2004,April,Thursday,0,Night,D31,0,2,25,Glenfield-Jane Heights (25),-79.51040848,43.74922746,51
-8838014.849,5411190.39,52,GO-2004295496,2004/04/16 04:00:00+00,2004,April,Friday,2,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.3932382,43.64839265,52
-8851538.882,5429488.059,53,GO-2004315641,2004/04/17 04:00:00+00,2004,April,Saturday,11,Morning,D31,0,0,24,Black Creek (24),-79.51472666,43.76721178,53
-8842726.449,5411420.716,54,GO-2004314373,2004/04/17 04:00:00+00,2004,April,Saturday,2,Night,D14,0,1,84,Little Portugal (84),-79.43556322,43.64988978,54
-8847890.1,5410530.3,55,GO-2004341984,2004/04/19 04:00:00+00,2004,April,Monday,12,Afternoon,D42,0,2,87,High Park-Swansea (87),-79.48194909,43.64410184,55
-8837334.012,5412210.581,56,GO-2004348492,2004/04/19 04:00:00+00,2004,April,Monday,3,Night,D52,0,0,76,Bay Street Corridor (76),-79.38712214,43.65502364,56
